Ime,URL,Gorovje,Višina (m),Zahtevnost (min),Zahtevnost (max),Priljubljenost
Dolgi hrbet,https://www.hribi.net/gora/dolgi_hrbet/3/42,Kamniško Savinjske Alpe,2473,zahtevna,zahtevna,219
Veliko Špičje,https://www.hribi.net/gora/veliko_spicje/1/452,Julijske Alpe,2398,zahtevna,zahtevna,220
Mali Draški vrh,https://www.hribi.net/gora/mali_draski_vrh/1/256,Julijske Alpe,2132,zahtevna,zahtevna,221
Planina Konjščica,https://www.hribi.net/gora/planina_konjscica/1/137,Julijske Alpe,1427,lahka,lahka,222
Strelovec,https://www.hribi.net/gora/strelovec/3/490,Kamniško Savinjske Alpe,1763,lahka,delno zahtevna,223
Koča na Soriški planini,https://www.hribi.net/gora/koca_na_soriski_planini/1/204,Julijske Alpe,1306,lahka,lahka,224
Tolminski Kuk,https://www.hribi.net/gora/tolminski_kuk/1/153,Julijske Alpe,2085,lahka,zahtevna,225
Dom na Šmohorju,https://www.hribi.net/gora/dom_na_smohorju/25/860,Zasavsko - Posavsko hribovje in Dolenjska,784,lahka,lahka,227
Dolina reke Glinščice / Val Rosandra,https://www.hribi.net/gora/dolina_reke_glinscice___val_rosandra/26/1752,"Goriško, Notranjsko in Snežniško hribovje",320,lahka,lahka,228
Prešernova koča na Stolu,https://www.hribi.net/gora/presernova_koca_na_stolu/11/309,Karavanke,2174,lahka,zahtevna,229
Partizanski dom na Vodiški planini,https://www.hribi.net/gora/partizanski_dom_na_vodiski_planini/21/812,"Škofjeloško, Cerkljansko hribovje in Jelovica",1108,lahka,delno zahtevna,230
Srednji vrh,https://www.hribi.net/gora/srednji_vrh/3/244,Kamniško Savinjske Alpe,1853,lahka,lahka,231
Struška,https://www.hribi.net/gora/struska/11/200,Karavanke,1944,lahka,lahka,232
Črnuški dom na Mali planini,https://www.hribi.net/gora/crnuski_dom_na_mali_planini/3/470,Kamniško Savinjske Alpe,1526,lahka,delno zahtevna,233
Bivak pod Grintovcem,https://www.hribi.net/gora/bivak_pod_grintovcem/3/390,Kamniško Savinjske Alpe,2100,zahtevna,zahtevna,234
Šmarjetna gora,https://www.hribi.net/gora/smarjetna_gora/21/126,"Škofjeloško, Cerkljansko hribovje in Jelovica",646,lahka,lahka,235
Zavetišče pod Špičkom,https://www.hribi.net/gora/zavetisce_pod_spickom/1/210,Julijske Alpe,2064,lahka,zahtevna,236
Krasji vrh,https://www.hribi.net/gora/krasji_vrh/1/605,Julijske Alpe,1773,lahka,lahka,237
Sveta Trojica,https://www.hribi.net/gora/sveta_trojica/26/806,"Goriško, Notranjsko in Snežniško hribovje",1106,lahka,lahka,238
Planina Blato,https://www.hribi.net/gora/planina_blato/1/1547,Julijske Alpe,1147,lahka,lahka,239
Ablanca,https://www.hribi.net/gora/ablanca/1/461,Julijske Alpe,2004,zahtevna,zahtevna,240
Veliki Rogatec (Veliki Rogac),https://www.hribi.net/gora/veliki_rogatec_veliki_rogac/3/906,Kamniško Savinjske Alpe,1557,lahka,zahtevna,241
Dom na Govejku,https://www.hribi.net/gora/dom_na_govejku/5/118,Polhograjsko hribovje in Ljubljana,734,lahka,lahka,242
Kamniški Dedec,https://www.hribi.net/gora/kamniski_dedec/3/1288,Kamniško Savinjske Alpe,1583,delno zahtevna,delno zahtevna,243
Cankarjev vrh (Rožnik),https://www.hribi.net/gora/cankarjev_vrh_roznik/5/313,Polhograjsko hribovje in Ljubljana,394,lahka,lahka,244
Koča na Blegošu,https://www.hribi.net/gora/koca_na_blegosu/21/177,"Škofjeloško, Cerkljansko hribovje in Jelovica",1391,lahka,lahka,245
Palec,https://www.hribi.net/gora/palec/11/363,Karavanke,2026,zahtevna,zahtevna,246
Mali Grintovec,https://www.hribi.net/gora/mali_grintovec/3/356,Kamniško Savinjske Alpe,1813,lahka,delno zahtevna,247
Prestreljenik,https://www.hribi.net/gora/prestreljenik/1/35,Julijske Alpe,2499,delno zahtevna,zahtevna,248
Resevna,https://www.hribi.net/gora/resevna/25/874,Zasavsko - Posavsko hribovje in Dolenjska,682,lahka,lahka,249
Cmir,https://www.hribi.net/gora/cmir/1/155,Julijske Alpe,2393,zahtevna,zahtevna,250
Dovški križ,https://www.hribi.net/gora/dovski_kriz/1/22,Julijske Alpe,2542,zahtevna,zahtevna,251
Galetovec,https://www.hribi.net/gora/galetovec/1/832,Julijske Alpe,1265,lahka,delno zahtevna,252
Dom na Poreznu,https://www.hribi.net/gora/dom_na_poreznu/21/217,"Škofjeloško, Cerkljansko hribovje in Jelovica",1590,lahka,lahka,253
Kosijev dom na Vogarju,https://www.hribi.net/gora/kosijev_dom_na_vogarju/1/184,Julijske Alpe,1054,lahka,lahka,254
Dom na Peci,https://www.hribi.net/gora/dom_na_peci/11/670,Karavanke,1665,lahka,lahka,255
Begunjski vrh,https://www.hribi.net/gora/begunjski_vrh/1/48,Julijske Alpe,2461,lahka,zahtevna,256
Kapela Marije Snežne (Velika planina),https://www.hribi.net/gora/kapela_marije_snezne_velika_planina/3/168,Kamniško Savinjske Alpe,1560,lahka,delno zahtevna,257
Koča na Klemenči jami,https://www.hribi.net/gora/koca_na_klemenci_jami/3/619,Kamniško Savinjske Alpe,1208,delno zahtevna,delno zahtevna,258
Visoki Mavrinc,https://www.hribi.net/gora/visoki_mavrinc/1/1267,Julijske Alpe,1562,lahka,lahka,259
Ajdna,https://www.hribi.net/gora/ajdna/11/498,Karavanke,1046,lahka,zahtevna,260
Črno jezero na Pohorju,https://www.hribi.net/gora/crno_jezero_na_pohorju/4/918,Pohorje in ostala severovzhodna Slovenija,1196,lahka,lahka,261
Planina Krstenica,https://www.hribi.net/gora/planina_krstenica/1/101,Julijske Alpe,1670,lahka,lahka,262
Bašeljski vrh,https://www.hribi.net/gora/baseljski_vrh/3/274,Kamniško Savinjske Alpe,1744,lahka,delno zahtevna,263
Koča na Pesku,https://www.hribi.net/gora/koca_na_pesku/4/513,Pohorje in ostala severovzhodna Slovenija,1386,lahka,lahka,264
Rogla,https://www.hribi.net/gora/rogla/4/512,Pohorje in ostala severovzhodna Slovenija,1517,lahka,lahka,265
Ogradi,https://www.hribi.net/gora/ogradi/1/323,Julijske Alpe,2087,lahka,lahka,266
Štruca,https://www.hribi.net/gora/struca/3/49,Kamniško Savinjske Alpe,2457,zahtevna,zahtevna,267
Veliki Javornik (Bohor),https://www.hribi.net/gora/veliki_javornik_bohor/25/888,Zasavsko - Posavsko hribovje in Dolenjska,1023,lahka,lahka,268
Molička peč,https://www.hribi.net/gora/molicka_pec/3/696,Kamniško Savinjske Alpe,2029,ni podatka,ni podatka,269
Mali Triglav,https://www.hribi.net/gora/mali_triglav/1/3,Julijske Alpe,2725,zahtevna,zahtevna,270
Korada,https://www.hribi.net/gora/korada/26/870,"Goriško, Notranjsko in Snežniško hribovje",812,lahka,lahka,271
Debeli vrh,https://www.hribi.net/gora/debeli_vrh/1/383,Julijske Alpe,2390,ni podatka,ni podatka,272
Kurešček,https://www.hribi.net/gora/kurescek/26/136,"Goriško, Notranjsko in Snežniško hribovje",826,lahka,lahka,273
Jerebikovec,https://www.hribi.net/gora/jerebikovec/1/394,Julijske Alpe,1593,lahka,delno zahtevna,274
Pihavec,https://www.hribi.net/gora/pihavec/1/1052,Julijske Alpe,2419,zahtevna,zahtevna,275
Sveta Gora,https://www.hribi.net/gora/sveta_gora/26/450,"Goriško, Notranjsko in Snežniško hribovje",681,lahka,delno zahtevna,276
Grad Socerb,https://www.hribi.net/gora/grad_socerb/26/844,"Goriško, Notranjsko in Snežniško hribovje",437,lahka,lahka,277
Planina Viševnik,https://www.hribi.net/gora/planina_visevnik/1/255,Julijske Alpe,1625,lahka,zahtevna,278
Veliki Javornik (Javorniki),https://www.hribi.net/gora/veliki_javornik_javorniki/26/821,"Goriško, Notranjsko in Snežniško hribovje",1268,lahka,lahka,279
Sveti Križ (Križna Gora),https://www.hribi.net/gora/sveti_kriz_krizna_gora/21/550,"Škofjeloško, Cerkljansko hribovje in Jelovica",680,lahka,lahka,280
Koča na Loki pod Raduho,https://www.hribi.net/gora/koca_na_loki_pod_raduho/3/409,Kamniško Savinjske Alpe,1534,lahka,lahka,281
Visoki Rokav,https://www.hribi.net/gora/visoki_rokav/1/5,Julijske Alpe,2646,ni podatka,ni podatka,282
Vrh Ljubeljščice (Triangel),https://www.hribi.net/gora/vrh_ljubeljscice_triangel/11/92,Karavanke,1704,lahka,zahtevna,283
Bevkov vrh,https://www.hribi.net/gora/bevkov_vrh/21/823,"Škofjeloško, Cerkljansko hribovje in Jelovica",1051,lahka,lahka,284
Slap Boka,https://www.hribi.net/gora/slap_boka/1/392,Julijske Alpe,680,lahka,delno zahtevna,285
Brda,https://www.hribi.net/gora/brda/1/263,Julijske Alpe,2008,lahka,zahtevna,286
Košutna,https://www.hribi.net/gora/kosutna/3/447,Kamniško Savinjske Alpe,1974,delno zahtevna,delno zahtevna,287
Jezerski Stog,https://www.hribi.net/gora/jezerski_stog/1/259,Julijske Alpe,2040,lahka,delno zahtevna,288
Mahavšček,https://www.hribi.net/gora/mahavscek/1/327,Julijske Alpe,2008,lahka,zahtevna,289
Šija,https://www.hribi.net/gora/sija/1/463,Julijske Alpe,1880,lahka,lahka,290
Mišelj vrh,https://www.hribi.net/gora/miselj_vrh/1/106,Julijske Alpe,2350,ni podatka,ni podatka,291
Mala Osojnica,https://www.hribi.net/gora/mala_osojnica/1/1249,Julijske Alpe,691,lahka,delno zahtevna,292
Grmada nad Celjem,https://www.hribi.net/gora/grmada_nad_celjem/25/877,Zasavsko - Posavsko hribovje in Dolenjska,718,lahka,zahtevna,293
Planina Spodnja Dolga njiva,https://www.hribi.net/gora/planina_spodnja_dolga_njiva/11/298,Karavanke,1400,lahka,lahka,294
Velika Tičarica,https://www.hribi.net/gora/velika_ticarica/1/454,Julijske Alpe,2091,ni podatka,ni podatka,295
Vošca,https://www.hribi.net/gora/vosca/11/365,Karavanke,1737,lahka,lahka,296
Najvišji rob (Zeleniške špice),https://www.hribi.net/gora/najvisji_rob_zeleniske_spice/3/1587,Kamniško Savinjske Alpe,2127,ni podatka,ni podatka,297
Velika Martuljška Ponca,https://www.hribi.net/gora/velika_martuljska_ponca/1/8,Julijske Alpe,2602,ni podatka,ni podatka,299
Lipanski vrh,https://www.hribi.net/gora/lipanski_vrh/1/82,Julijske Alpe,1974,lahka,zahtevna,300
Ermanovec,https://www.hribi.net/gora/ermanovec/21/1134,"Škofjeloško, Cerkljansko hribovje in Jelovica",1026,lahka,lahka,301
Orlovo gnezdo (Slap Rinka),https://www.hribi.net/gora/orlovo_gnezdo_slap_rinka/3/166,Kamniško Savinjske Alpe,1120,lahka,lahka,302
Potočka zijalka,https://www.hribi.net/gora/potocka_zijalka/11/674,Karavanke,1660,lahka,lahka,303
Pirnatova koča na Javorniku,https://www.hribi.net/gora/pirnatova_koca_na_javorniku/26/808,"Goriško, Notranjsko in Snežniško hribovje",1156,lahka,lahka,304
Slap Orglice,https://www.hribi.net/gora/slap_orglice/3/357,Kamniško Savinjske Alpe,870,lahka,lahka,305
Storžek,https://www.hribi.net/gora/storzek/3/1289,Kamniško Savinjske Alpe,2110,zahtevna,zahtevna,306
Lanževica,https://www.hribi.net/gora/lanzevica/1/325,Julijske Alpe,2003,lahka,lahka,307
Stolpnik,https://www.hribi.net/gora/stolpnik/11/883,Karavanke,1012,lahka,lahka,308
Dom na Kisovcu,https://www.hribi.net/gora/dom_na_kisovcu/3/189,Kamniško Savinjske Alpe,1275,lahka,delno zahtevna,309
Šitna glava,https://www.hribi.net/gora/sitna_glava/1/273,Julijske Alpe,2087,lahka,lahka,310
Zelenci,https://www.hribi.net/gora/zelenci/1/228,Julijske Alpe,845,lahka,lahka,311
Koča na Grohatu,https://www.hribi.net/gora/koca_na_grohatu/3/615,Kamniško Savinjske Alpe,1460,lahka,lahka,312
Štefanja gora,https://www.hribi.net/gora/stefanja_gora/3/1230,Kamniško Savinjske Alpe,748,lahka,lahka,313
Triglavska vojašnica Viktorja Emanuela III.,https://www.hribi.net/gora/triglavska_vojasnica_viktorja_emanuela_iii/1/105,Julijske Alpe,2520,lahka,lahka,314
Vrh nad Škrbino,https://www.hribi.net/gora/vrh_nad_skrbino/1/698,Julijske Alpe,2054,lahka,zahtevna,315
Kriška planina,https://www.hribi.net/gora/kriska_planina/3/2201,Kamniško Savinjske Alpe,1480,lahka,delno zahtevna,316
Mangartska koča na Mangartskem sedlu,https://www.hribi.net/gora/mangartska_koca_na_mangartskem_sedlu/1/93,Julijske Alpe,1906,lahka,lahka,317
Komen,https://www.hribi.net/gora/komen/3/487,Kamniško Savinjske Alpe,1684,lahka,lahka,318
Planja,https://www.hribi.net/gora/planja/1/423,Julijske Alpe,2453,zahtevna,zahtevna,319
Lajnar,https://www.hribi.net/gora/lajnar/1/435,Julijske Alpe,1549,lahka,lahka,320
Gladki vrh (Ratitovec),https://www.hribi.net/gora/gladki_vrh_ratitovec/21/1308,"Škofjeloško, Cerkljansko hribovje in Jelovica",1667,lahka,delno zahtevna,321
Velika Zelnarica,https://www.hribi.net/gora/velika_zelnarica/1/385,Julijske Alpe,2320,delno zahtevna,zahtevna,322
Štajerska Rinka,https://www.hribi.net/gora/stajerska_rinka/3/388,Kamniško Savinjske Alpe,2374,zahtevna,zahtevna,323
Kremžarjev vrh,https://www.hribi.net/gora/kremzarjev_vrh/4/753,Pohorje in ostala severovzhodna Slovenija,1164,lahka,lahka,324
Javorov vrh,https://www.hribi.net/gora/javorov_vrh/3/267,Kamniško Savinjske Alpe,1434,lahka,lahka,325
Sveti Trije kralji,https://www.hribi.net/gora/sveti_trije_kralji/4/917,Pohorje in ostala severovzhodna Slovenija,1181,lahka,lahka,326
Planina Konjščica (Velika planina),https://www.hribi.net/gora/planina_konjscica_velika_planina/3/371,Kamniško Savinjske Alpe,1505,lahka,lahka,327
Klek,https://www.hribi.net/gora/klek/11/362,Karavanke,1753,lahka,zahtevna,328
Zgornje Kriško jezero,https://www.hribi.net/gora/zgornje_krisko_jezero/1/258,Julijske Alpe,2158,lahka,lahka,329
Dom na Krvavcu,https://www.hribi.net/gora/dom_na_krvavcu/3/179,Kamniško Savinjske Alpe,1684,lahka,lahka,330
Špik nad Nosom / Foronon del Buinz,https://www.hribi.net/gora/spik_nad_nosom___foronon_del_buinz/1/1342,Julijske Alpe,2531,zahtevna,zahtevna,331
Škabrijel,https://www.hribi.net/gora/skabrijel/26/849,"Goriško, Notranjsko in Snežniško hribovje",646,lahka,lahka,332
Planinski dom pri Gospodični,https://www.hribi.net/gora/planinski_dom_pri_gospodicni/25/733,Zasavsko - Posavsko hribovje in Dolenjska,822,lahka,lahka,333
Grmada (Nanos),https://www.hribi.net/gora/grmada_nanos/26/1410,"Goriško, Notranjsko in Snežniško hribovje",1209,lahka,lahka,334
Cjajnik / Lärchenturm,https://www.hribi.net/gora/cjajnik___larchenturm/11/1067,Karavanke,1965,zahtevna,zahtevna,335
Furlanovo zavetišče pri Abramu,https://www.hribi.net/gora/furlanovo_zavetisce_pri_abramu/26/840,"Goriško, Notranjsko in Snežniško hribovje",900,lahka,zahtevna,336
Belska planina (Svečica),https://www.hribi.net/gora/belska_planina_svecica/11/201,Karavanke,1700,lahka,lahka,338
Mala Ponca,https://www.hribi.net/gora/mala_ponca/1/1046,Julijske Alpe,1925,zahtevna,zahtevna,339
Jarški dom na Mali planini,https://www.hribi.net/gora/jarski_dom_na_mali_planini/3/237,Kamniško Savinjske Alpe,1520,lahka,lahka,340
Erjavčeva koča na Vršiču,https://www.hribi.net/gora/erjavceva_koca_na_vrsicu/1/272,Julijske Alpe,1525,lahka,lahka,341
Iztokova koča pod Golaki,https://www.hribi.net/gora/iztokova_koca_pod_golaki/26/510,"Goriško, Notranjsko in Snežniško hribovje",1260,lahka,lahka,342
Rž,https://www.hribi.net/gora/rz/1/26,Julijske Alpe,2538,zahtevna,zahtevna,343
Grmovškov dom pod Veliko Kopo,https://www.hribi.net/gora/grmovskov_dom_pod_veliko_kopo/4/520,Pohorje in ostala severovzhodna Slovenija,1371,lahka,lahka,344
Jeterbenk,https://www.hribi.net/gora/jeterbenk/5/226,Polhograjsko hribovje in Ljubljana,774,lahka,lahka,345
Sivka,https://www.hribi.net/gora/sivka/21/824,"Škofjeloško, Cerkljansko hribovje in Jelovica",1008,lahka,lahka,346
Lavričeva koča na Gradišču,https://www.hribi.net/gora/lavriceva_koca_na_gradiscu/25/1445,Zasavsko - Posavsko hribovje in Dolenjska,510,lahka,lahka,347
Smokuški vrh,https://www.hribi.net/gora/smokuski_vrh/3/1149,Kamniško Savinjske Alpe,1122,lahka,delno zahtevna,348
Cjanovca,https://www.hribi.net/gora/cjanovca/3/499,Kamniško Savinjske Alpe,1820,lahka,lahka,349
Begunjska Vrtača,https://www.hribi.net/gora/begunjska_vrtaca/11/431,Karavanke,1991,delno zahtevna,delno zahtevna,350
Macesnovec,https://www.hribi.net/gora/macesnovec/1/722,Julijske Alpe,1926,zahtevna,zahtevna,351
Potoška gora,https://www.hribi.net/gora/potoska_gora/3/497,Kamniško Savinjske Alpe,1283,lahka,lahka,352
Velika Poljana,https://www.hribi.net/gora/velika_poljana/3/207,Kamniško Savinjske Alpe,1410,lahka,delno zahtevna,354
Dom na Slivnici,https://www.hribi.net/gora/dom_na_slivnici/26/191,"Goriško, Notranjsko in Snežniško hribovje",1078,lahka,lahka,355
Kogel,https://www.hribi.net/gora/kogel/3/1525,Kamniško Savinjske Alpe,2100,zahtevna,zahtevna,356
Koča na Travniku,https://www.hribi.net/gora/koca_na_travniku/3/489,Kamniško Savinjske Alpe,1548,lahka,lahka,357
Toplar,https://www.hribi.net/gora/toplar/11/239,Karavanke,2000,ni podatka,ni podatka,358
Zelenjak,https://www.hribi.net/gora/zelenjak/11/692,Karavanke,2024,zahtevna,zahtevna,359
Tinjan,https://www.hribi.net/gora/tinjan/26/845,"Goriško, Notranjsko in Snežniško hribovje",374,lahka,lahka,360
Velika Kopa,https://www.hribi.net/gora/velika_kopa/4/521,Pohorje in ostala severovzhodna Slovenija,1542,lahka,lahka,361
Krvavica,https://www.hribi.net/gora/krvavica/25/355,Zasavsko - Posavsko hribovje in Dolenjska,909,lahka,delno zahtevna,362
Izvir Soče,https://www.hribi.net/gora/izvir_soce/1/425,Julijske Alpe,990,zahtevna,zahtevna,363
Smledniški hrib (Stari grad),https://www.hribi.net/gora/smledniski_hrib_stari_grad/5/1873,Polhograjsko hribovje in Ljubljana,517,lahka,lahka,364
Veliki Rob,https://www.hribi.net/gora/veliki_rob/26/1209,"Goriško, Notranjsko in Snežniško hribovje",1237,lahka,delno zahtevna,365
Kranjska reber,https://www.hribi.net/gora/kranjska_reber/3/249,Kamniško Savinjske Alpe,1435,lahka,lahka,366
Mala gora,https://www.hribi.net/gora/mala_gora/26/730,"Goriško, Notranjsko in Snežniško hribovje",1034,lahka,delno zahtevna,367
Gostišče Zeleni Rob,https://www.hribi.net/gora/gostisce_zeleni_rob/3/947,Kamniško Savinjske Alpe,1612,lahka,lahka,368
Vrh nad Peski,https://www.hribi.net/gora/vrh_nad_peski/1/418,Julijske Alpe,2176,lahka,lahka,369
Dom na Tromeji,https://www.hribi.net/gora/dom_na_tromeji/11/303,Karavanke,1145,lahka,lahka,370
Vernar,https://www.hribi.net/gora/vernar/1/1388,Julijske Alpe,2225,ni podatka,ni podatka,371
Javorca,https://www.hribi.net/gora/javorca/1/411,Julijske Alpe,571,lahka,lahka,372
Zavetišče na planini Šija,https://www.hribi.net/gora/zavetisce_na_planini_sija/11/359,Karavanke,1528,lahka,lahka,373
Rzenik,https://www.hribi.net/gora/rzenik/3/154,Kamniško Savinjske Alpe,1833,lahka,lahka,374
Mala Rinka,https://www.hribi.net/gora/mala_rinka/3/1323,Kamniško Savinjske Alpe,2289,zahtevna,zahtevna,375
Plešivec,https://www.hribi.net/gora/plesivec/11/300,Karavanke,1801,lahka,lahka,376
Planina Dolga njiva,https://www.hribi.net/gora/planina_dolga_njiva/3/245,Kamniško Savinjske Alpe,1600,lahka,lahka,377
Dom na Čreti,https://www.hribi.net/gora/dom_na_creti/3/818,Kamniško Savinjske Alpe,870,lahka,lahka,378
Dom na Osankarici,https://www.hribi.net/gora/dom_na_osankarici/4/575,Pohorje in ostala severovzhodna Slovenija,1193,lahka,lahka,379
Potoški Stol,https://www.hribi.net/gora/potoski_stol/11/480,Karavanke,2014,lahka,lahka,380
Andrejev dom na Slemenu,https://www.hribi.net/gora/andrejev_dom_na_slemenu/11/827,Karavanke,1086,lahka,lahka,381
Kotovo sedlo,https://www.hribi.net/gora/kotovo_sedlo/1/285,Julijske Alpe,2134,lahka,delno zahtevna,382
Križna gora,https://www.hribi.net/gora/krizna_gora/26/1130,"Goriško, Notranjsko in Snežniško hribovje",857,lahka,lahka,383
Vivodnik,https://www.hribi.net/gora/vivodnik/3/445,Kamniško Savinjske Alpe,1508,lahka,lahka,384
Basališče (Paški Kozjak),https://www.hribi.net/gora/basalisce_paski_kozjak/11/742,Karavanke,1272,lahka,lahka,385
Vodotočno jezero (Veža),https://www.hribi.net/gora/vodotocno_jezero_veza/3/288,Kamniško Savinjske Alpe,1850,lahka,zahtevna,386
Veliki vrh,https://www.hribi.net/gora/veliki_vrh/3/295,Kamniško Savinjske Alpe,1742,lahka,lahka,387
Bela peč,https://www.hribi.net/gora/bela_pec/11/346,Karavanke,1593,lahka,delno zahtevna,388
Hom,https://www.hribi.net/gora/hom/5/335,Polhograjsko hribovje in Ljubljana,715,lahka,lahka,389
Križevnik,https://www.hribi.net/gora/krizevnik/3/695,Kamniško Savinjske Alpe,1909,lahka,zahtevna,390
Debenji vrh,https://www.hribi.net/gora/debenji_vrh/25/1091,Zasavsko - Posavsko hribovje in Dolenjska,530,lahka,lahka,391
Koča pod Kremžarjevim vrhom,https://www.hribi.net/gora/koca_pod_kremzarjevim_vrhom/4/754,Pohorje in ostala severovzhodna Slovenija,1102,lahka,lahka,392
Jezero v Ledvicah,https://www.hribi.net/gora/jezero_v_ledvicah/1/171,Julijske Alpe,1831,lahka,zahtevna,393
Ovčji vrh (Kozjak) / Geissberg (Kosiak),https://www.hribi.net/gora/ovcji_vrh_kozjak___geissberg_kosiak/11/581,Karavanke,2024,lahka,zahtevna,394
Gora (Sveti Lovrenc),https://www.hribi.net/gora/gora_sveti_lovrenc/26/804,"Goriško, Notranjsko in Snežniško hribovje",1019,lahka,lahka,395
Kal (Kalski hrib),https://www.hribi.net/gora/kal_kalski_hrib/25/1196,Zasavsko - Posavsko hribovje in Dolenjska,985,lahka,delno zahtevna,396
Zadnjiški Ozebnik,https://www.hribi.net/gora/zadnjiski_ozebnik/1/676,Julijske Alpe,2084,lahka,lahka,397
Kuk (Kolovrat),https://www.hribi.net/gora/kuk_kolovrat/26/1771,"Goriško, Notranjsko in Snežniško hribovje",1243,lahka,lahka,398
Hruški vrh,https://www.hribi.net/gora/hruski_vrh/11/360,Karavanke,1776,lahka,lahka,399
Kobla,https://www.hribi.net/gora/kobla/1/373,Julijske Alpe,1498,lahka,lahka,400
Vevnica,https://www.hribi.net/gora/vevnica/1/1621,Julijske Alpe,2342,zahtevna,zahtevna,401
Luknja,https://www.hribi.net/gora/luknja/1/197,Julijske Alpe,1766,lahka,lahka,402
Gozdnik,https://www.hribi.net/gora/gozdnik/25/856,Zasavsko - Posavsko hribovje in Dolenjska,1090,lahka,lahka,403
Čukla,https://www.hribi.net/gora/cukla/1/415,Julijske Alpe,1767,lahka,lahka,404
Lučka Brana (Baba),https://www.hribi.net/gora/lucka_brana_baba/3/1532,Kamniško Savinjske Alpe,2331,zahtevna,zahtevna,405
