Ime,URL,Gorovje,Višina (m),Zahtevnost (min),Zahtevnost (max),Priljubljenost
Dom pri Krnskih jezerih,https://www.hribi.net/gora/dom_pri_krnskih_jezerih/1/162,Julijske Alpe,1385,lahka,lahka,197
Lepenatka,https://www.hribi.net/gora/lepenatka/3/349,Kamniško Savinjske Alpe,1425,lahka,lahka,198
Kranjska Rinka,https://www.hribi.net/gora/kranjska_rinka/3/50,Kamniško Savinjske Alpe,2453,zahtevna,zahtevna,199
Orožnova koča na planini za Liscem,https://www.hribi.net/gora/oroznova_koca_na_planini_za_liscem/1/158,Julijske Alpe,1346,lahka,lahka,200
Trstelj,https://www.hribi.net/gora/trstelj/26/868,"Goriško, Notranjsko in Snežniško hribovje",643,lahka,lahka,201
Zavetišče v Hudičevem borštu,https://www.hribi.net/gora/zavetisce_v_hudicevem_borstu/3/1285,Kamniško Savinjske Alpe,1328,lahka,lahka,202
Mariborska koča,https://www.hribi.net/gora/mariborska_koca/4/841,Pohorje in ostala severovzhodna Slovenija,1086,lahka,lahka,203
Kopitnik,https://www.hribi.net/gora/kopitnik/25/788,Zasavsko - Posavsko hribovje in Dolenjska,910,delno zahtevna,delno zahtevna,204
Kamniti lovec / Cima del Cacciatore,https://www.hribi.net/gora/kamniti_lovec___cima_del_cacciatore/1/662,Julijske Alpe,2071,lahka,zahtevna,205
Kukova špica,https://www.hribi.net/gora/kukova_spica/1/402,Julijske Alpe,2427,zahtevna,zahtevna,206
Kucelj (na Čavnu),https://www.hribi.net/gora/kucelj_na_cavnu/26/501,"Goriško, Notranjsko in Snežniško hribovje",1237,lahka,delno zahtevna,207
Mala Ojstrica,https://www.hribi.net/gora/mala_ojstrica/3/1392,Kamniško Savinjske Alpe,2017,lahka,lahka,208
Velika Baba,https://www.hribi.net/gora/velika_baba/1/675,Julijske Alpe,2016,lahka,lahka,209
Visoka Ponca,https://www.hribi.net/gora/visoka_ponca/1/90,Julijske Alpe,2274,zahtevna,zahtevna,210
Dom pri izviru Završnice,https://www.hribi.net/gora/dom_pri_izviru_zavrsnice/11/278,Karavanke,1425,lahka,lahka,211
Koča na Ljubelju,https://www.hribi.net/gora/koca_na_ljubelju/11/322,Karavanke,1370,lahka,lahka,213
Batognica,https://www.hribi.net/gora/batognica/1/374,Julijske Alpe,2164,lahka,zahtevna,214
Polhograjska Gora (Sveti Lovrenc),https://www.hribi.net/gora/polhograjska_gora_sveti_lovrenc/5/264,Polhograjsko hribovje in Ljubljana,824,lahka,delno zahtevna,215
Aljažev dom v Vratih,https://www.hribi.net/gora/aljazev_dom_v_vratih/1/242,Julijske Alpe,1001,lahka,lahka,216
Mozirska koča na Golteh,https://www.hribi.net/gora/mozirska_koca_na_golteh/3/593,Kamniško Savinjske Alpe,1356,lahka,lahka,217
Sveta Ana,https://www.hribi.net/gora/sveta_ana/26/527,"Goriško, Notranjsko in Snežniško hribovje",484,lahka,lahka,218
